language_table	sid	zh_hits	ko_hits	zh	ko_new	notes
t_language.xml	101577	名		名路	명로	merged_from_huax_draft
t_language.xml	101838	氏		潞氏战士	로씨 전사	merged_from_huax_draft
t_language.xml	101839	氏		潞氏狂战士	로씨 광전사	merged_from_huax_draft
t_language.xml	101840	氏		潞氏重盔战士	로씨 중궤전사	merged_from_huax_draft
t_language.xml	101841	氏		潞氏无面	로씨 무면	merged_from_huax_draft
t_language.xml	101842	氏		潞氏弩手	로씨 노수	merged_from_huax_draft
t_language.xml	101843	氏		潞氏连弩手	로씨 연노수	merged_from_huax_draft
t_language.xml	102201	氏		潞氏无面	로씨 무면	merged_from_huax_draft
t_language.xml	102202	氏		潞氏重盔战士	로씨 중궤전사	merged_from_huax_draft
t_language.xml	102203	氏		潞氏狂战士	로씨 광전사	merged_from_huax_draft
t_language.xml	102204	氏		潞氏战士	로씨 전사	merged_from_huax_draft
t_language.xml	102205	氏		潞氏荒流蚁髅	로씨 황류의루	merged_from_huax_draft
t_language.xml	102206	氏		潞氏奔战尹	로씨 분전윤	merged_from_huax_draft
t_language.xml	102207	氏		潞氏中阶平民	로씨 중계 평민	merged_from_huax_draft
t_language.xml	102208	氏		潞氏平民	로씨 평민	merged_from_huax_draft
t_language.xml	102209	氏		潞氏弩手	로씨 노수	merged_from_huax_draft
t_language.xml	102210	氏		潞氏连弩手	로씨 연노수	merged_from_huax_draft
t_language.xml	102530	名	이름	名	이름	merged_from_huax_draft
t_language.xml	102594	氏		周氏护卫	주씨 호위	merged_from_huax_draft
t_language.xml	105545	名		名士袍	명사포	merged_from_huax_draft
t_language.xml	106451	氏		先天散气丹（周氏特制）	선천 산기단(주씨 특제)	merged_from_huax_draft
t_language.xml	106883	氏		春秋·左氏	춘추·좌씨	merged_from_huax_draft
t_language.xml	106901	氏		论语·季氏	론어·계씨	merged_from_huax_draft
t_language.xml	106915	名		荀子·正名	순자·정명	merged_from_huax_draft
t_language.xml	107042	名		公孙龙子·名实论	공손룡자·명실론	merged_from_huax_draft
t_language.xml	107269	名		墨家名牌	묵가 명패	merged_from_huax_draft
t_language.xml	109653	名		名辩	명변	merged_from_huax_draft
t_language.xml	109660	名		名实	명실	merged_from_huax_draft
t_language.xml	109749	名		正名	정명	merged_from_huax_draft
